BioProject: PRJNA792398
Metadata file: Data/Metadata/GutMicrobiota_BeeTracking_metadata__TutorialSubset.csv
Raw FASTQ directory: Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw
Symlink directory: Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset
Samplesheet: Data/PRJNA792398__06.03.2026/samplesheet__TutorialSubset.csv
Generated at: 2026-03-06 14:46:20 CET

Total BioProject runs: 330
Runs matched to metadata Sample_ID: 33
Runs excluded (not in metadata): 297

Columns:
sample_id	run_accession	sample_accession	raw_r1	raw_r2	symlink_r1	symlink_r2
189	SRR17347632	SAMN24424003	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347632_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347632_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347632__189_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347632__189_2.fastq.gz
19	SRR17347452	SAMN24423833	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347452_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347452_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347452__19_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347452__19_2.fastq.gz
20	SRR17347630	SAMN24423834	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347630_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347630_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347630__20_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347630__20_2.fastq.gz
21	SRR17347717	SAMN24423835	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347717_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347717_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347717__21_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347717__21_2.fastq.gz
42	SRR17347548	SAMN24423856	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347548_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347548_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347548__42_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347548__42_2.fastq.gz
63	SRR17347586	SAMN24423877	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347586_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347586_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347586__63_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347586__63_2.fastq.gz
84	SRR17347662	SAMN24423898	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347662_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347662_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347662__84_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347662__84_2.fastq.gz
H2O_1	SRR17347629	SAMN24424005	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347629_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347629_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347629__H2O_1_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347629__H2O_1_2.fastq.gz
H2O_2	SRR17347501	SAMN24424008	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347501_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347501_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347501__H2O_2_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347501__H2O_2_2.fastq.gz
H2O_3	SRR17347628	SAMN24424006	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347628_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347628_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347628__H2O_3_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347628__H2O_3_2.fastq.gz
MOCK	SRR17347631	SAMN24424004	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347631_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347631_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347631__MOCK_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347631__MOCK_2.fastq.gz
